epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,594.02,1.06474,1.23212,0.98251,0.88463,0.91993,0.92877,0.72361,1.04019,1.0793,0.96698,0.000354172,0.000354172,0.000354172
13,643.623,1.0756,1.14716,0.97772,0.89361,0.94242,0.95004,0.73674,1.04049,0.96408,0.97375,0.000335824,0.000335824,0.000335824
14,693.191,1.06177,1.0981,0.984,0.94272,0.917,0.95321,0.74247,1.02148,0.97951,0.97222,0.000317476,0.000317476,0.000317476
15,742.808,1.028,1.09316,0.96535,0.92098,0.92109,0.95716,0.75724,1.01091,0.89316,0.95938,0.000299128,0.000299128,0.000299128
16,792.183,1.013,1.05494,0.95789,0.93907,0.94948,0.96909,0.76002,1.00666,0.86289,0.95801,0.00028078,0.00028078,0.00028078
17,841.884,1.02703,1.0522,0.9634,0.92022,0.95324,0.96512,0.76135,0.97892,0.89928,0.95644,0.000262432,0.000262432,0.000262432
18,891.372,0.99373,0.97992,0.95518,0.92119,0.93075,0.96261,0.76672,0.96055,0.85853,0.95384,0.000244084,0.000244084,0.000244084
19,941.056,1.02651,0.99602,0.96266,0.95018,0.94044,0.96759,0.77641,0.94603,0.79259,0.93782,0.000225736,0.000225736,0.000225736
20,990.47,1.00597,0.95575,0.96365,0.93682,0.9472,0.96855,0.77936,0.94633,0.78059,0.93459,0.000207388,0.000207388,0.000207388
21,1039.8,1.02925,1.14564,0.97469,0.9032,0.94976,0.97151,0.77324,0.95907,0.86082,0.94465,0.00018904,0.00018904,0.00018904
22,1089.1,0.98952,1.03984,0.96435,0.88566,0.88991,0.95837,0.76334,0.97039,1.12352,0.95245,0.000170692,0.000170692,0.000170692
23,1138.49,1.00374,1.03741,0.96835,0.90689,0.92539,0.95867,0.77134,0.95092,0.91701,0.9402,0.000152344,0.000152344,0.000152344
24,1187.77,0.98463,0.99634,0.95999,0.91771,0.94569,0.9633,0.77618,0.94295,0.76469,0.93324,0.000133996,0.000133996,0.000133996
25,1237.22,0.98125,0.97728,0.95369,0.9132,0.93552,0.96571,0.77386,0.9352,0.76829,0.93103,0.000115648,0.000115648,0.000115648
26,1285.9,0.99015,0.96908,0.96175,0.92096,0.95406,0.96949,0.77488,0.92122,0.76314,0.92732,9.73e-05,9.73e-05,9.73e-05
27,1334.68,0.97312,0.95191,0.9553,0.9172,0.95778,0.96836,0.77673,0.92075,0.72108,0.9274,7.8952e-05,7.8952e-05,7.8952e-05
28,1383.89,0.96356,0.94399,0.95145,0.9293,0.95561,0.97229,0.78561,0.9207,0.70021,0.92695,6.0604e-05,6.0604e-05,6.0604e-05
29,1433.24,0.96367,0.92407,0.95776,0.92396,0.93682,0.97102,0.78948,0.91736,0.69428,0.92572,4.2256e-05,4.2256e-05,4.2256e-05
30,1482.53,0.96108,0.92763,0.95283,0.92329,0.94022,0.97031,0.78214,0.91434,0.68624,0.92396,2.3908e-05,2.3908e-05,2.3908e-05
